id;bolt_invoice;sats;settled;paid_by_pub_key;created_at;settled_at;user_id
1;Texas Focused;32320;false;Center Infrastructure;2021-09-09;2021-09-08;1
2;Grove haptic 1080p;58419;true;Unbranded SDR Consultant;2021-09-09;2021-09-09;2
3;quantify;90663;false;Soap Incredible;2021-09-09;2021-09-09;2
4;monitor;87472;true;Engineer Shirt Court;2021-09-08;2021-09-08;2
5;Account;74564;true;transmitting parse Gloves;2021-09-09;2021-09-08;1
6;Dynamic iterate;2286;false;Tasty Awesome Integration;2021-09-08;2021-09-09;2
7;customized hub;49531;true;Internal auxiliary RSS;2021-09-09;2021-09-09;1
8;Internal interactive deposit;1051;false;neural Gorgeous Colorado;2021-09-09;2021-09-08;2
9;Toys;96191;false;Granite Intuitive;2021-09-09;2021-09-08;2
10;Handmade;4123;false;Customer e-markets;2021-09-09;2021-09-09;1
